State,Total_2006,Africa_2006,Asia_2006,Europe_2006,Northern America_2006,Oceania_2006,Latin America_2006,Total_2007,Africa_2007,Asia_2007,Europe_2007,Northern America_2007,Oceania_2007,Latin America_2007,Total_2008,Africa_2008,Asia_2008,Europe_2008,Northern America_2008,Oceania_2008,Latin America_2008,Total_2009,Africa_2009,Asia_2009,Europe_2009,Northern America_2009,Oceania_2009,Latin America_2009,Total_2010,Africa_2010,Asia_2010,Europe_2010,Northern America_2010,Oceania_2010,Latin America_2010,Total_2011,Africa_2011,Asia_2011,Europe_2011,Northern America_2011,Oceania_2011,Latin America_2011,Total_2012,Africa_2012,Asia_2012,Europe_2012,Northern America_2012,Oceania_2012,Latin America_2012,Total_2013,Africa_2013,Asia_2013,Europe_2013,Northern America_2013,Oceania_2013,Latin America_2013
Puerto Rico,,,,,,,,,,,,,,,3287,,149,125,2310,,689,4084,,121,113,3098,3,736,4283,,128,120,3440,,577,3288,16,136,111,2477,0,543,3106,,144,114,2317,,516,2942,15,113,86,2203,3,511
Rhode Island,4778,1060,840,424,1775,12,659,3354,727,620,290,1259,10,443,3735,939,654,306,1339,10,485,4156,1183,609,308,1525,13,516,4027,930,648,211,1756,10,471,3681,763,683,226,1509,11,488,3798,864,707,256,1523,12,433,3337,707,592,268,1311,9,439
South Carolina,5292,444,1492,1179,726,31,1405,4788,424,1456,815,717,27,1341,4241,358,1360,859,571,15,1075,4747,384,1593,833,620,22,1293,4401,457,1673,679,598,22,967,4216,394,1590,691,547,32,959,3924,341,1503,561,543,21,951,4266,400,1693,593,590,24,960
South Dakota,1013,367,213,217,135,3,78,668,186,196,134,86,,41,773,281,232,81,98,,77,1271,649,297,142,119,,42,987,339,423,79,80,7,59,1337,450,609,86,117,14,60,1521,546,715,75,104,7,74,1231,271,728,67,101,,43
Tennessee,10042,2511,3822,1209,926,71,1482,8942,1962,3410,912,928,51,1670,8348,2167,2954,868,816,36,1478,9042,2572,3261,840,836,39,1476,8156,1728,3663,621,724,73,1322,8279,1837,3817,573,727,48,1260,8573,1847,3956,556,744,46,1401,8380,1926,3739,646,729,51,1265
Texas,89037,8623,24601,5261,9814,270,40327,77278,6757,22262,4389,8056,234,35507,89811,7458,24506,4944,7289,254,45270,95384,10255,28314,4796,8213,267,43441,87750,8474,30261,4158,7312,220,37241,94481,8459,33039,3940,7526,238,41175,95557,9513,32341,3834,7275,226,42283,92674,8901,30819,4304,8082,280,39975
Total,1266264,117430,422333,164285,240343,7385,311754,1052415,94711,383508,120821,190715,6101,255165,1107126,105915,383608,119138,203264,5263,288544,1130818,127050,413312,105398,210316,5578,267798,1042625,101355,422063,88743,197482,5345,226307,1062040,100374,451593,83850,190456,4980,229542,1031631,107241,429599,81671,181365,4742,225807,990553,98304,400548,86556,180632,5277,215973
U.S. Armed Services Posts,95,6,46,14,15,0,14,85,8,45,18,0,,0,73,8,36,11,0,0,0,86,9,43,15,10,4,5,136,19,70,25,-8,0,8,101,,51,13,9,,17,108,8,67,14,0,,7,112,13,64,15,0,,6
U.S. Dependencies,7080,21,2131,182,3777,20,937,5317,23,1732,145,2659,12,736,,,,,,,,,,,,,,,1558,14,584,15,909,6,24,,,,,,,,,,,,,,,,,,,,,
U.S. Territories,,,,,,,,,,,,,,,1044,13,205,25,778,3,18,1409,18,346,,996,,28,,,,,,,,1379,,523,19,805,,12,1559,8,694,24,794,7,25,1267,,456,29,750,3,18
Utah,5749,602,1228,745,640,211,2309,5168,339,1309,652,476,177,2211,6087,596,1440,664,563,170,2651,6466,880,2070,549,481,132,2352,6085,541,2146,438,505,199,2252,6426,582,2317,444,458,212,2411,5932,514,2090,440,487,147,2251,5503,515,1782,383,472,197,2150
Vermont,895,246,243,189,150,16,51,791,230,259,166,75,15,45,771,159,202,260,95,7,48,792,226,262,156,95,7,46,867,156,439,125,95,9,42,943,160,513,110,109,7,41,877,142,476,126,76,6,50,838,65,475,135,115,6,42
Virginia,38488,7157,14433,3471,6489,104,6784,29682,5167,12453,2658,4304,105,4964,30257,5526,13119,3050,4119,104,4306,29825,5527,13732,2639,3693,92,4106,28607,5306,14158,2010,3546,89,3457,27767,5076,14155,1942,3307,60,3203,28227,5429,13748,1945,3479,78,3527,27861,5002,13435,2182,3810,91,3279
Washington,23805,3057,9600,6144,1605,377,2991,22657,2485,10139,4793,1771,374,3071,23170,2857,10267,4606,1558,275,3587,27562,4543,12207,5062,1888,354,3483,22283,2784,11736,3246,1292,364,2844,23789,3123,13291,2816,1272,263,3014,23060,3160,12347,2853,1415,266,3004,22994,2940,11993,3113,1490,320,3077
West Virginia,764,78,345,131,112,7,91,721,66,347,129,89,12,78,798,92,361,144,102,4,93,734,97,386,92,63,9,86,729,83,390,101,76,7,71,830,109,439,118,89,6,68,779,124,382,93,77,8,95,760,117,391,71,93,,84
Wisconsin,8341,688,3706,1506,650,55,1720,7381,597,3515,1181,635,47,1392,7306,707,2968,1155,567,30,1860,6727,989,2544,1022,516,48,1588,6189,663,2695,880,449,41,1447,6245,665,2820,842,405,32,1462,6049,768,2773,660,358,27,1442,5918,627,2797,739,402,18,1311
Wyoming,376,23,123,80,47,16,87,380,14,137,68,33,5,122,458,22,138,93,50,10,144,429,30,143,67,36,12,141,452,39,171,62,43,7,130,420,48,127,77,32,4,132,427,34,161,69,37,4,122,522,54,150,80,55,,170
