Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Dependencies	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Laos	2575	0	22	6	24	753	19	13		0	31	26	13	5	37	7	13	55	3	9	0	4	19	37	630		3		8	12		9		20	69	0	27	12	21	23	14	10		49	87	0	0	13		26	57	0	379	0
Latvia	568	0	0	7		67	7	6		0	48	30		0	43	6	0	0		3	0	17	24	7	5		10	0	0	3		40		115	14		13	0	9	21	3	3	0	9	10	0	0	4	0	11	9	0	11	0
Lebanon	4267	20		58	8	857	20	47	12	5	280	54	6	0	96	40	19	13	12	23	0	44	350	813	37		19	0	4	46	21	161	4	259	50	3	175	26	21	79	24	19	0	35	274	0		9	5	155	39	7	12	
Lesotho	14	0	0			0	0		0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	0	0		0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liberia	4102	14		9	8	139	44	39	57	10	52	207		6	55	41	16	7	14	0	3	361	175	68	542		18	3	5	3	5	416		285	188	0	98	23	22	644	140	14		40	138		0	7	3	88	47	5	36	0
Libya	186		0	7	0	31			0	0	11	3	0		6	3				0		5	7	11		0	5	0			0	9	0	15	4	0	12	0	4	7	0	0	0		8	0	0	0		11	6	3	0	0
Lithuania	1361	5		6	4	117	19	36	8	3	118	42	3		438	10		3	0	0		21	49	19	9		4		0	18		102		123	16	0	35	5	3	41	3	15		6	18	0	0		0	17	10		17	
Luxembourg	39	0	0		0	4	0		0	0	4		0				0	0		0	0		0		0	0	0	0	0		0	5	0	7	0	0	5	0	0		0	0	0	0		0	0	0	0	0	0	0	0	0
Macau	178	0	0	0	0	100	0		0	0		0	4	0	6	0	0		0	0	0	0	9			0		0	0		0		0	27		0	0	0	4		0		0		4	0	0	3	0		5	0	0	0
Macedonia	1227		25	19	0	35		63	0	0	57	0	0	0	165	69	5	0		0			8	102	0	3	9	0		9	0	270	0	220	5		52	7	5	14	0	5	0		22	0	0		0	11	10	0	27	0
Madagascar	53	0	0		0	3		0	0	4	6			0	0	0	0	0		0	0	3			0	0	0	0	0		0		0	6	0	0	6	0	0		0	0		0	3	0	0	0		6		0	0	0
Malawi	123		0			15	0	0	0	0	6	8	0		6	11		0	0	0	0	4		7	0	0	4	0		0		6	0	6	3	0	4	4	0		0	0	0	5	11	0	0	0	0	6		0		0
Malaysia	2149	16		30	8	480	16	24	4	3	55	90	16	6	64	13	4	22	11	9		41	27	61	27	4	16	4	9	10	4	100		443	32		33	31	23	40	11	8		17	188	0		12	3	48	58	0	19	0
