Origin,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Japan,8265,39,20,123,22,2261,76,92,11,29,286,185,,742,20,291,74,33,39,49,26,17,142,209,178,65,17,35,15,28,129,20,236,32,986,118,9,144,31,109,155,,11,53,6,72,310,8,78,49,12,172,328,10,60,3
Jordan,4038,16,0,29,16,573,13,18,5,8,272,64,,0,,636,44,10,17,56,59,6,55,58,216,36,12,54,0,9,9,,306,10,289,97,3,246,11,13,76,,6,16,0,69,309,0,49,11,0,135,34,,61,
Kazakhstan,2081,13,,22,7,353,43,13,9,12,135,58,,10,3,65,18,13,18,11,13,6,37,104,31,44,3,16,9,,13,9,69,5,348,40,0,50,3,76,70,,4,24,,15,63,0,3,11,,74,117,0,13,0
Kenya,8779,64,,232,10,702,133,68,97,33,210,517,,5,38,201,128,61,151,88,,50,353,630,154,657,5,271,0,53,62,58,333,6,413,228,7,289,47,110,223,,17,33,32,118,1022,0,0,154,51,219,380,9,51,
Kiribati,8,0,0,0,0,3,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea,24386,148,79,226,45,6910,298,177,57,26,513,915,,361,41,945,137,63,81,79,53,24,887,335,431,175,22,117,8,51,249,43,2096,37,3006,314,5,246,64,187,529,,16,52,28,190,1046,11,156,66,19,1827,869,10,103,13
Kuwait,1230,21,,20,,155,5,4,,3,93,99,,0,3,89,22,,5,17,6,,15,20,75,9,3,10,0,3,4,0,69,,98,37,0,61,10,8,15,,4,6,,32,122,0,3,,0,44,6,3,17,0
Kyrgyzstan,786,5,0,7,,112,10,4,5,4,43,11,,4,,22,9,3,,7,,,17,20,4,24,4,11,0,4,4,6,27,,137,5,0,28,,52,47,,0,6,0,7,7,0,0,4,5,31,74,,3,0
Laos,2893,5,11,8,34,809,19,28,3,,50,53,,12,,45,9,44,46,,,5,9,41,47,708,0,8,0,9,13,14,6,,30,59,0,30,13,21,28,,34,6,,36,63,0,0,14,0,45,41,0,427,
Latvia,892,,,11,,139,14,8,8,0,66,34,,0,,75,10,,0,,,,19,29,15,16,6,,,3,7,5,41,,180,22,0,16,3,12,20,,,6,,7,17,0,,5,,25,32,,18,0
Lebanon,4083,19,3,71,3,738,20,33,,15,318,51,,0,,104,13,10,17,12,18,8,31,354,702,31,0,18,0,7,58,24,128,,273,62,0,202,21,34,62,,31,18,3,26,288,0,12,14,,167,36,8,12,0
Lesotho,19,0,0,,0,,0,,0,0,0,,,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,3,,,0,0,0,0,0,0,0,0,0,,0,0,,0
Liberia,6887,20,,187,,211,66,74,58,26,137,346,,0,17,160,57,84,13,44,15,,539,275,143,728,3,84,0,12,17,36,493,8,515,269,22,138,34,36,874,,297,18,43,82,304,0,3,26,5,203,92,,67,
Libya,271,,0,5,0,51,6,,0,3,11,11,,,0,12,,,0,6,,0,4,7,7,9,0,,,,,,14,0,22,5,0,11,0,5,6,,0,,0,,21,0,0,0,0,20,7,,3,
Lithuania,1885,,0,13,4,133,10,43,6,3,148,41,,3,0,684,15,7,,,,7,38,46,29,18,3,11,,,21,5,142,0,213,12,0,39,3,9,43,,5,16,,4,24,0,,,4,34,14,,19,
