	Total_2006	Africa_2006	Asia_2006	Europe_2006	Northern America_2006	Oceania_2006	Latin America_2006	Total_2007	Africa_2007	Asia_2007	Europe_2007	Northern America_2007	Oceania_2007	Latin America_2007	Total_2008	Africa_2008	Asia_2008	Europe_2008	Northern America_2008	Oceania_2008	Latin America_2008	Total_2009	Africa_2009	Asia_2009	Europe_2009	Northern America_2009	Oceania_2009	Latin America_2009	Total_2010	Africa_2010	Asia_2010	Europe_2010	Northern America_2010	Oceania_2010	Latin America_2010	Total_2011	Africa_2011	Asia_2011	Europe_2011	Northern America_2011	Oceania_2011	Latin America_2011	Total_2012	Africa_2012	Asia_2012	Europe_2012	Northern America_2012	Oceania_2012	Latin America_2012	Total_2013	Africa_2013	Asia_2013	Europe_2013	Northern America_2013	Oceania_2013	Latin America_2013	Abbreviations
New Jersey	65934.0	6333.0	21603.0	9153.0	13430.0	151.0	15169.0	55834.0	5360.0	20264.0	6736.0	11852.0	111.0	11449.0	53997.0	5144.0	21182.0	5855.0	11418.0	108.0	10237.0	58879.0	5774.0	21034.0	5593.0	14787.0	120.0	11510.0	56920.0	5571.0	20923.0	4947.0	15149.0	103.0	10157.0	55547.0	4976.0	21487.0	4773.0	13937.0	76.0	10246.0	50790.0	5158.0	19828.0	4352.0	12660.0	90.0	8657.0	53082.0	5387.0	19533.0	4761.0	13575.0	123.0	9497.0	NJ
New Mexico	3805.0	105.0	775.0	320.0	440.0	20.0	2141.0	3112.0	84.0	694.0	322.0	236.0	18.0	1752.0	3509.0	112.0	679.0	261.0	320.0	10.0	2123.0	3887.0	178.0	815.0	287.0	285.0	23.0	2297.0	3528.0	154.0	931.0	223.0	235.0	28.0	1956.0	3767.0	149.0	988.0	216.0	257.0	6.0	2148.0	3714.0	154.0	820.0	202.0	202.0	14.0	2321.0	3664.0	136.0	936.0	221.0	209.0	10.0	2146.0	NM
New York	180165.0	11603.0	63159.0	27754.0	48190.0	503.0	28604.0	136739.0	9703.0	50190.0	18676.0	37671.0	396.0	19954.0	143679.0	11020.0	54350.0	19528.0	38567.0	391.0	19669.0	150722.0	12046.0	58012.0	15113.0	46323.0	385.0	18708.0	147999.0	10513.0	55830.0	14269.0	47830.0	408.0	19017.0	148426.0	9952.0	65901.0	13052.0	41998.0	379.0	17038.0	149505.0	12557.0	63423.0	14497.0	41768.0	414.0	16676.0	133601.0	10486.0	54065.0	13630.0	38408.0	484.0	16073.0	NY
North Carolina	18989.0	2759.0	5797.0	2865.0	2710.0	106.0	4712.0	15469.0	2406.0	5388.0	1882.0	2164.0	57.0	3535.0	15174.0	2411.0	5259.0	1927.0	1950.0	63.0	3535.0	18562.0	2857.0	6602.0	1989.0	2385.0	89.0	4611.0	16112.0	2791.0	6644.0	1465.0	2029.0	92.0	3053.0	17571.0	2549.0	7720.0	1622.0	2051.0	60.0	3527.0	17487.0	2805.0	7619.0	1453.0	2116.0	55.0	3385.0	16798.0	2419.0	7136.0	1557.0	2187.0	77.0	3343.0	NC
North Dakota	649.0	219.0	162.0	138.0	91.0	3.0	35.0	496.0	115.0	184.0	109.0	-10.0		21.0	662.0	259.0	197.0	102.0	63.0	5.0	36.0	843.0	401.0	234.0	84.0	82.0	6.0	36.0	1058.0	274.0	581.0	87.0	73.0	4.0	38.0	948.0	233.0	518.0	68.0	81.0	6.0	40.0	1144.0	339.0	568.0	85.0	79.0	3.0	70.0	1234.0	293.0	687.0	92.0	84.0	3.0	72.0	ND
Ohio	16592.0	4325.0	6174.0	3160.0	1333.0	81.0	1451.0	14078.0	3509.0	5703.0	2501.0	1108.0	66.0	1164.0	14595.0	4302.0	5404.0	2479.0	1083.0	55.0	1226.0	15375.0	5045.0	6065.0	1988.0	994.0	66.0	1168.0	13585.0	3376.0	6405.0	1682.0	905.0	74.0	1101.0	13857.0	3342.0	6868.0	1581.0	856.0	52.0	1091.0	13948.0	3686.0	6825.0	1481.0	782.0	53.0	1073.0	13819.0	3304.0	6901.0	1564.0	851.0	58.0	1089.0	OH
Oklahoma	4591.0	465.0	1785.0	452.0	406.0	28.0	1445.0	4269.0	414.0	1645.0	391.0	334.0	29.0	1446.0	4306.0	390.0	1519.0	358.0	270.0	24.0	1734.0	5007.0	506.0	1963.0	335.0	289.0	18.0	1889.0	4627.0	479.0	1981.0	333.0	278.0	25.0	1528.0	4503.0	447.0	1984.0	296.0	268.0	19.0	1488.0	4646.0	527.0	1981.0	255.0	300.0	18.0	1561.0	4648.0	545.0	2034.0	279.0	295.0	12.0	1473.0	OK
Oregon	9192.0	752.0	3095.0	2503.0	792.0	121.0	1921.0	7905.0	602.0	3065.0	1530.0	723.0	142.0	1834.0	9028.0	682.0	3284.0	1779.0	770.0	110.0	2395.0	9026.0	1047.0	3405.0	1477.0	670.0	117.0	2303.0	7997.0	723.0	3853.0	974.0	557.0	136.0	1742.0	7694.0	745.0	3735.0	858.0	555.0	102.0	1692.0	7791.0	796.0	3604.0	854.0	591.0	108.0	1834.0	7171.0	603.0	3217.0	848.0	563.0	128.0	1786.0	OR
Pennsylvania	25958.0	3944.0	10002.0	5207.0	3990.0	113.0	2653.0	22811.0	3254.0	9530.0	4222.0	3349.0	81.0	2334.0	23646.0	3989.0	9287.0	4349.0	3615.0	80.0	2280.0	24105.0	4581.0	9663.0	3625.0	4019.0	84.0	2091.0	24130.0	3919.0	10722.0	3172.0	4302.0	87.0	1876.0	25397.0	4078.0	12071.0	2839.0	4243.0	77.0	2046.0	25032.0	4139.0	12004.0	2723.0	4090.0	62.0	1966.0	24720.0	3703.0	11554.0	2978.0	4285.0	84.0	1991.0	PA
Rhode Island	4778.0	1060.0	840.0	424.0	1775.0	12.0	659.0	3354.0	727.0	620.0	290.0	1259.0	10.0	443.0	3735.0	939.0	654.0	306.0	1339.0	10.0	485.0	4156.0	1183.0	609.0	308.0	1525.0	13.0	516.0	4027.0	930.0	648.0	211.0	1756.0	10.0	471.0	3681.0	763.0	683.0	226.0	1509.0	11.0	488.0	3798.0	864.0	707.0	256.0	1523.0	12.0	433.0	3337.0	707.0	592.0	268.0	1311.0	9.0	439.0	RI
