,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Albania,2786,0,0,20,,40,6,143,0,7,229,13,,0,6,207,13,0,4,,,8,22,378,425,6,,49,0,6,22,17,127,0,501,10,0,131,4,5,195,,3,6,0,6,28,0,0,,,32,13,0,65,0,31
Algeria,578,,,5,,96,8,4,0,3,26,10,,,0,44,7,0,6,,,0,10,56,12,8,0,,0,,7,6,36,,84,11,0,15,0,4,13,,,0,0,3,42,0,0,0,,20,11,0,12,0,7
American Samoa,161,0,10,0,0,40,0,0,0,0,0,,,36,,0,0,0,,0,,0,0,0,0,0,,,0,,,0,0,0,4,5,0,0,,3,0,,0,0,0,0,3,0,,12,0,4,27,0,0,0,5
Angola,105,0,0,,0,11,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,43,,0,0,,0,0,0,,13,0,4,,0,,0,0,3,,8,,0,,,0,,,0,,0,0,,0,3
Anguilla,37,,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,,0,0,0,0,,0,18,0,0,,0,0,0,0,1
Antigua-Barbuda,416,0,3,,0,6,0,4,3,,42,26,,0,0,,,0,,0,,0,14,11,0,,0,0,0,,,0,25,0,168,3,0,4,0,0,8,,,0,,,16,0,52,0,,7,,0,0,0,7
Argentina,2348,6,,22,3,547,30,21,4,12,594,34,,4,4,69,16,11,8,7,,3,43,41,19,10,3,13,3,3,36,8,142,5,234,17,,21,,19,26,,,6,0,6,133,,23,38,5,43,26,,6,0,14
Armenia,1495,0,0,10,0,1170,8,6,,0,13,,,,,11,,,3,,0,0,8,31,6,5,0,4,0,,34,,16,0,61,5,0,7,3,4,9,,6,0,,0,16,0,0,8,0,6,16,0,7,,6
Aruba,36,0,0,0,0,3,0,0,,0,10,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,,0,0,0,0,,0,3,0,0,,0,0,0,0,1
Australia,1067,,7,30,4,301,26,9,,10,49,16,,16,3,29,9,5,,,12,3,21,37,8,11,3,7,5,0,15,7,29,7,93,18,0,13,3,20,22,,,7,,7,65,0,9,13,4,35,46,,12,,10
Austria,292,0,0,6,,69,14,5,0,0,28,6,,4,0,12,3,4,0,,,0,3,9,10,6,0,3,0,0,6,4,13,0,24,,0,7,0,4,3,,0,0,,,15,0,,3,0,8,7,0,3,,0
Azerbaijan,606,0,0,10,,140,7,7,,0,10,,,,,25,,0,,4,0,,9,16,17,6,0,8,0,0,,0,13,,199,4,0,21,0,,16,,,0,0,3,12,0,0,8,,8,40,0,,0,4
Bahamas,397,,0,0,,12,,,,,222,34,,3,0,4,,0,0,,0,0,7,7,,,0,,0,0,0,3,9,,20,6,0,0,3,,3,,0,,0,,16,0,0,,,11,,0,0,0,14
Bahrain,56,0,0,0,0,12,0,,0,,,,,0,0,3,0,0,0,0,,0,3,0,,0,0,,0,,0,0,6,0,5,0,0,,0,0,,,0,0,0,0,9,0,0,0,0,,,0,0,0,0
