,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Spain,1253,4,5,23,0,185,21,18,4,11,212,34,0,3,0,32,9,,,3,6,,26,41,12,6,0,13,,5,13,7,99,6,137,22,,14,5,7,27,24,4,15,,6,71,11,0,17,,33,25,0,8,,17
Sri Lanka,1334,3,0,18,11,324,7,8,,4,56,24,0,4,,38,7,6,12,10,4,,96,54,30,20,,7,0,4,30,6,61,,197,18,0,35,4,11,44,0,,,0,7,96,0,0,,,31,13,0,6,0,14
Sudan,2444,20,3,116,,140,59,22,4,7,59,37,0,0,13,73,14,120,14,21,9,36,60,42,33,102,3,46,0,149,5,33,36,0,168,97,27,48,4,5,86,0,0,8,25,99,204,0,,58,9,175,83,0,11,0,59
Suriname,194,,0,0,0,8,,0,,0,65,5,0,0,0,4,0,0,,,6,0,3,3,,,0,,0,,,0,13,0,61,4,0,0,,0,3,0,0,0,0,,3,0,0,0,0,,0,0,0,0,1
Swaziland,15,0,0,,0,3,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,0,0,0,0
Sweden,872,11,,10,0,230,27,25,3,0,110,16,0,6,4,32,4,,,,,4,13,37,6,18,,6,,,6,,29,3,67,16,,6,3,16,19,0,,7,0,,43,,,6,4,11,37,0,4,0,14
Switzerland,427,3,,14,,105,11,4,0,4,38,9,,3,,10,4,,,,,,12,10,3,,,4,,,5,,14,4,43,11,0,10,,6,13,,0,,0,6,21,,,3,,7,13,,,3,2
Syria,1981,7,0,32,10,581,17,20,,0,133,27,0,,0,142,19,5,7,15,6,0,24,77,104,5,5,12,0,7,7,6,115,5,165,17,0,68,16,15,96,3,15,3,0,20,91,0,,,0,23,17,3,8,0,26
Taiwan,5065,13,4,50,8,2432,41,24,3,,116,99,4,42,5,114,34,5,27,19,17,,98,96,48,25,5,17,,3,43,7,196,13,371,73,0,56,14,39,56,0,7,18,,19,424,,0,32,0,66,204,5,30,0,37
Tajikistan,155,,0,9,0,22,20,0,0,0,7,,0,,,4,0,0,0,0,0,0,,0,0,,0,,0,5,,0,9,0,37,,3,,,8,4,0,0,0,0,,,0,0,0,0,,10,0,0,0,0
Tanzania,516,8,0,6,,50,,5,,3,51,28,0,0,0,9,7,,12,,4,0,33,18,9,19,,5,,,6,,7,6,27,19,0,26,,0,21,0,,4,0,9,63,,0,,0,10,18,,4,0,8
Thailand,5299,29,56,53,25,1838,53,24,7,4,275,110,5,69,13,135,21,10,32,18,25,15,96,138,61,370,6,36,4,8,139,11,62,12,170,99,,61,22,64,73,0,16,24,6,43,234,15,,24,8,115,203,5,300,,51
Togo,1523,12,0,22,0,26,22,44,7,6,26,85,0,4,6,134,19,21,3,13,,,194,18,5,117,0,20,0,63,3,0,57,0,219,80,0,36,9,7,56,0,6,14,0,11,43,3,0,10,,50,10,0,16,0,22
Tonga,251,0,,8,0,108,,0,0,0,,,0,23,,0,0,,0,,0,0,0,,,0,0,0,0,0,6,0,0,0,0,,0,0,0,9,0,0,0,,0,0,10,0,0,50,0,,19,0,,0,2
Trinidad and Tobago,5014,15,6,30,,117,14,56,12,14,909,173,0,7,,49,9,0,6,9,11,,239,144,19,21,,3,0,4,14,5,332,,2058,64,0,22,20,3,160,,10,48,0,13,182,18,23,,,95,28,4,,,33
Tunisia,377,4,0,4,,38,3,,4,6,66,5,0,,0,13,4,,3,,,0,18,5,11,3,,3,0,,0,,13,,44,5,,15,,,26,0,3,,0,6,24,0,0,,0,16,5,0,0,,11
Turkey,3100,7,3,24,6,426,22,56,24,4,276,90,0,4,3,109,30,4,10,6,11,5,69,132,29,25,4,13,,5,20,8,384,6,548,44,,41,9,10,145,0,7,28,0,37,164,6,0,7,4,105,58,4,15,,49
Turkmenistan,146,0,0,,0,29,4,,0,,11,3,0,0,,,,0,0,0,0,0,,5,0,,0,,0,0,,0,6,0,18,0,0,,0,3,7,0,0,0,0,,5,0,0,8,0,,16,0,10,0,2
Turks and Caicos Islands,36,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,4,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,838,,,12,,136,19,8,,,24,38,0,,0,26,8,8,7,,,0,59,181,8,26,,4,0,,3,0,11,0,36,7,,13,13,3,26,0,3,3,,4,65,0,0,3,0,22,21,,11,0,10
Ukraine,8489,26,26,49,10,1261,105,90,15,,402,128,,6,25,658,47,26,19,54,16,4,110,227,91,150,10,75,8,27,46,33,352,19,1347,153,4,231,34,360,407,0,9,55,30,62,144,8,0,22,3,94,1288,6,74,4,35
